Question,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
session_ID,Email,First Name,Last Name,CustomA,CustomB,Start Time,End Time,Duration,IP Address,What movie genre is your favorite?,Are you a dog person or a cat person,What is your preferred Operating System?,Do you prefer activities on your own or with others?,Star Wars or Star Trek?,Are you a good singer?,Do you nake wishes upon stars?,Do you play a musical instrument?,"On average, how many hours per day do you spend on the internet?","On average, how many hours per week do you spend coding?","On average, how many hours each week do you exercise?","How many meetups, of any kind, did you attend last year (2018)? Please enter 0 for none.",How many on-line courses have you taken?  Please enter 0 for none?,Do you own a small single-board computer such as a raspberry pi?,What is your age group?
14504456,,,,,,2018-12-03 1:19:00,2018-12-03 1:20:00,0:01:00,,Science Fiction,Cat Person,Windows,With Others,Star Trek,Yes,No,Yes,4,15,1,10,2,No,30 to 45 Years Old
14504491,,,,,,2018-12-03 2:10:00,2018-12-03 2:11:00,0:01:00,,Science Fiction,Dog Person,Windows,Individual (On my own),Star Wars,No,Yes,No,12,0,0,11,2,No,30 to 45 Years Old
14506542,,,,,,2018-12-03 16:45:00,2018-12-03 16:46:00,0:01:00,50.197.1.225,Science Fiction,Dog Person,Linux,Individual (On my own),Star Trek,No,Yes,No,3,20,16,6,8,Yes,Over 45 Years Old
14506729,,,,,,2018-12-03 17:40:00,2018-12-03 17:43:00,0:03:00,,Science Fiction,Dog Person,Windows,Individual (On my own),Star Trek,Yes,Yes,Yes,10,45,2,8,15,No,30 to 45 Years Old
14506739,,,,,,2018-12-03 17:45:00,2018-12-03 17:46:00,0:01:00,205.128.239.62,Comedy,Cat Person,Linux,With Others,Star Trek,Yes,Yes,No,30,40,5,30,5,No,Less than 30 Years Old
14516846,,,,,,2018-12-07 3:13:00,2018-12-07 3:15:00,0:02:00,73.135.248.193,Adventure,Dog Person,Linux,With Others,Star Wars,Yes,Yes,Yes,10,10,8,12,2,Yes,Over 45 Years Old
14521133,,,,,,2018-12-09 18:22:00,2018-12-09 18:24:00,0:02:00,71.244.148.132,Romance,Dog Person,Linux,Individual (On my own),Star Trek,Yes,No,Yes,1,40,5,6,5,No,Over 45 Years Old
14531363,,,,,,2018-12-13 23:10:00,2018-12-13 23:14:00,0:04:00,,Adventure,Dog Person,Mac,With Others,Star Trek,No,Yes,No,6,1,4,3,40,No,Over 45 Years Old
14533970,,,,,,2018-12-15 13:03:00,2018-12-15 13:05:00,0:02:00,,Adventure,Dog Person,Android,Individual (On my own),Star Wars,No,Yes,No,6,1,4,8,12,No,30 to 45 Years Old
14535559,,,,,,2018-12-16 23:20:00,2018-12-16 23:24:00,0:04:00,,Adventure,Dog Person,Linux,With Others,Star Wars,No,No,No,8,14,2,54,5,No,Over 45 Years Old
14535568,,,,,,2018-12-16 23:27:00,2018-12-16 23:27:00,0:00:00,71.244.195.165,Comedy,Dog Person,Linux,With Others,Star Wars,No,No,No,30,50,4,20,20,Yes,30 to 45 Years Old
14535588,,,,,,2018-12-16 23:45:00,2018-12-16 23:46:00,0:01:00,73.163.146.211,Comedy,Dog Person,Linux,Individual (On my own),Star Wars,No,No,Yes,7,30,10,3,5,Yes,30 to 45 Years Old
14535629,,,,,,2018-12-17 0:36:00,2018-12-17 0:39:00,0:03:00,100.16.162.118,Adventure,Dog Person,Linux,Individual (On my own),Star Trek,Yes,No,Yes,3,5,3.5,2,5,Yes,30 to 45 Years Old
14535688,,,,,,2018-12-17 1:52:00,2018-12-17 2:02:00,0:10:00,,Comedy,Dog Person,Windows,With Others,Star Wars,No,Yes,Yes,4,5,10,25,7,No,Less than 30 Years Old
14537695,,,,,,2018-12-17 21:12:00,2018-12-17 21:14:00,0:02:00,,Comedy,Dog Person,Windows,With Others,Star Wars,No,No,Yes,6,30,5,0,1,Yes,Less than 30 Years Old
14540249,,,,,,2018-12-19 3:17:00,2018-12-19 3:19:00,0:02:00,98.117.212.114,Adventure,Dog Person,Windows,With Others,Star Wars,No,Yes,No,2,20,2,1,5,No,30 to 45 Years Old
14541300,,,,,,2018-12-19 13:33:00,2018-12-19 13:37:00,0:04:00,71.244.161.12,Horror,Dog Person,Linux,Individual (On my own),Star Trek,No,No,Yes,5,50,6,12,12,Yes,Over 45 Years Old
14543861,,,,,,2018-12-20 19:53:00,2018-12-20 19:54:00,0:01:00,50.197.1.225,Science Fiction,Dog Person,Linux,Individual (On my own),Star Trek,No,Yes,No,3,20,10,5,13,Yes,Over 45 Years Old
14545005,,,,,,2018-12-21 18:16:00,2018-12-21 18:19:00,0:03:00,128.29.43.3,Romance,Dog Person,Android,With Others,Star Trek,No,No,No,2,4,4,4,2,No,Over 45 Years Old
14556443,,,,,,2019-01-03 2:14:00,2019-01-03 2:15:00,0:01:00,,Horror,Dog Person,Windows,With Others,Star Wars,No,Yes,Yes,10,2,1,0,0,No,Less than 30 Years Old
14556444,,,,,,2019-01-03 2:09:00,2019-01-03 2:16:00,0:07:00,100.36.64.50,Adventure,Dog Person,Mac,Individual (On my own),Star Wars,Yes,No,Yes,2,45,8,8,7,No,30 to 45 Years Old
14556449,,,,,,2019-01-03 2:16:00,2019-01-03 2:19:00,0:03:00,54.165.50.91,Science Fiction,Dog Person,Windows,Individual (On my own),Star Trek,No,No,No,3,0,6,7,4,No,Over 45 Years Old
14556451,,,,,,2019-01-03 2:19:00,2019-01-03 2:20:00,0:01:00,98.169.58.98,Science Fiction,Cat Person,Linux,With Others,Star Wars,Yes,No,Yes,8,4,2,1,4,Yes,Less than 30 Years Old
14556455,,,,,,2019-01-03 2:21:00,2019-01-03 2:23:00,0:02:00,96.244.45.9,Comedy,Dog Person,Mac,With Others,Star Wars,No,No,No,3,20,5,10,3,No,30 to 45 Years Old
14556463,,,,,,2019-01-03 2:31:00,2019-01-03 2:33:00,0:02:00,71.244.169.42,Adventure,Dog Person,Linux,With Others,Star Wars,No,No,No,2,20,20,15,5,No,30 to 45 Years Old
14556465,,,,,,2019-01-03 2:35:00,2019-01-03 2:37:00,0:02:00,100.16.239.50,Comedy,Dog Person,Windows,With Others,Star Wars,No,No,Yes,10,1,1,3,1,Yes,30 to 45 Years Old
14556474,,,,,,2019-01-03 2:41:00,2019-01-03 2:45:00,0:04:00,100.16.135.221,Comedy,Dog Person,Windows,Individual (On my own),Star Wars,No,No,No,4,20,10,10,3,Yes,30 to 45 Years Old
14556487,,,,,,2019-01-03 2:49:00,2019-01-03 2:53:00,0:04:00,69.250.72.211,Science Fiction,Dog Person,Windows,With Others,Star Trek,No,No,Yes,5,25,14,3,5,Yes,Over 45 Years Old
14556491,,,,,,2019-01-03 2:56:00,2019-01-03 2:59:00,0:03:00,100.15.164.231,Comedy,Dog Person,Android,Individual (On my own),Star Wars,No,No,No,4,0,1,4,10,No,30 to 45 Years Old
14556499,,,,,,2019-01-03 3:07:00,2019-01-03 3:09:00,0:02:00,68.134.187.53,Comedy,Dog Person,Android,With Others,Star Wars,No,No,No,9,0,3,4,20,No,30 to 45 Years Old
14556520,,,,,,2019-01-03 3:24:00,2019-01-03 3:26:00,0:02:00,100.16.28.117,Comedy,Dog Person,Windows,With Others,,No,No,No,3,5,2,0,3,No,Less than 30 Years Old
14556523,,,,,,2019-01-03 3:27:00,2019-01-03 3:31:00,0:04:00,68.134.8.22,Comedy,Cat Person,Mac,With Others,Star Trek,No,No,No,25,4,4,6,0,Yes,Less than 30 Years Old
14556534,,,,,,2019-01-03 3:39:00,2019-01-03 3:39:00,0:00:00,73.133.67.115,Adventure,Dog Person,Mac,With Others,Star Trek,No,No,Yes,6,30,10,1,3,Yes,Less than 30 Years Old
14556572,,,,,,2019-01-03 4:04:00,2019-01-03 4:07:00,0:03:00,100.16.225.153,Romance,Dog Person,Linux,With Others,Star Wars,No,No,Yes,1,40,4,10,0,No,Over 45 Years Old
14556808,,,,,,2019-01-03 8:03:00,2019-01-03 8:06:00,0:03:00,68.134.12.75,Comedy,Dog Person,Windows,Individual (On my own),Star Trek,No,No,No,3,50,6,6,8,No,30 to 45 Years Old
14557187,,,,,,2019-01-03 12:18:00,2019-01-03 12:19:00,0:01:00,173.66.201.108,Adventure,Cat Person,IOS,With Others,Star Wars,Yes,No,Yes,12,0,4,1,7,No,Over 45 Years Old
14557261,,,,,,2019-01-03 13:02:00,2019-01-03 13:04:00,0:02:00,193.37.253.110,Science Fiction,Dog Person,Linux,With Others,Star Wars,No,Yes,Yes,3,40,7,5,10,Yes,30 to 45 Years Old
